team1_name,team2_name,map_number,champs1_names,champs2_names,win,match_day,first_blood,kills_5
World Elite,Vici Gaming,1,"Maokai, Rek'Sai, LeBlanc, Sivir, Karma","Lucian, Graves, Braum, Viktor, Ekko",100,2016-06-12,200,
Vici Gaming,World Elite,2,"Ekko, Graves, Azir, Twitch, Braum","Maokai, Rek'Sai, Twisted Fate, Ezreal, Viktor",200,2016-06-12,100,
RNGU,I May,1,"Maokai, Kindred, LeBlanc, Ezreal, Karma","Nautilus, Azir, Nidalee, Braum, Lucian",100,2016-06-12,200,
I May,RNGU,2,"Darius, Kindred, Twisted Fate, Jhin, Bard","Trundle, Nidalee, LeBlanc, Lucian, Braum",200,2016-06-12,200,
LGD Gaming,OMG,1,"Swain, Elise, Lissandra, Ezreal, Braum","Ekko, Rek'Sai, LeBlanc, Sivir, Karma",200,2016-06-12,200,
OMG,LGD Gaming,2,"Ekko, Elise, LeBlanc, Ezreal, Karma","Maokai, Rek'Sai, Kassadin, Sivir, Braum",200,2016-06-12,200,
LGD Gaming,OMG,3,"Ryze, Hecarim, Lissandra, Sivir, Karma","Ekko, Rek'Sai, Viktor, Lucian, Braum",200,2016-06-12,100,
Vici Gaming,Saint Gaming,1,"Trundle, Azir, Rek'Sai, Sivir, Bard","Rumble, Graves, Lissandra, Jhin, Karma",100,2016-06-23,200,
Saint Gaming,Vici Gaming,2,"Rumble, Rek'Sai, Viktor, Jhin, Thresh","Trundle, Graves, Azir, Ezreal, Karma",100,2016-06-23,100,
Vici Gaming,Saint Gaming,3,"Gnar, Rek'Sai, Azir, Braum, Ezreal","Trundle, Hecarim, Viktor, Ashe, Karma",100,2016-06-23,100,
Edward Gaming,OMG,1,"Irelia, Skarner, Viktor, Jhin, Braum","Shen, Hecarim, Ekko, Ashe, Thresh",100,2016-06-23,100,
OMG,Edward Gaming,2,"Maokai, Graves, LeBlanc, Jhin, Nami","Ekko, Skarner, Lissandra, Sivir, Karma",100,2016-06-23,100,
Edward Gaming,OMG,3,"Maokai, Kha'Zix, Twisted Fate, Jhin, Thresh","Nautilus, Lee Sin, Lissandra, Miss Fortune, Karma",100,2016-06-23,100,
Newbee,I May,1,"Lissandra, Azir, Rek'Sai, Jhin, Thresh","Trundle, Hecarim, Twisted Fate, Sivir, Braum",200,2016-06-24,100,
I May,Newbee,2,"Irelia, Rek'Sai, Twisted Fate, Jhin, Braum","Maokai, Graves, Viktor, Sivir, Bard",100,2016-06-24,100,
Invictus Gaming,World Elite,1,"Shen, Elise, Viktor, Ashe, Braum","Irelia, Gragas, Karma, Sivir, Trundle",200,2016-06-24,100,
World Elite,Invictus Gaming,2,"Irelia, Rek'Sai, Lissandra, Ashe, Karma","Maokai, Gragas, Taliyah, Kalista, Braum",200,2016-06-24,100,
Invictus Gaming,World Elite,3,"Ekko, Gragas, Taliyah, Kalista, Braum","Maokai, Kindred, Swain, Ezreal, Braum",200,2016-06-24,100,
Snake,OMG,1,"Trundle, Nidalee, Lissandra, Ashe, Braum","Maokai, Lee Sin, Kassadin, Nami, Sivir",100,2016-06-25,100,
OMG,Snake,2,"Maokai, Graves, Azir, Jhin, Thresh","Fiora, Hecarim, Lissandra, Ashe, Braum",200,2016-06-25,200,
Edward Gaming,Vici Gaming,1,"Maokai, Karma, Graves, Thresh, Kog'Maw","Gragas, Kindred, Vladimir, Ashe, Braum",100,2016-06-25,100,
Vici Gaming,Edward Gaming,2,"Trundle, Kindred, Lissandra, Lucian, Braum","Ekko, Graves, Twisted Fate, Bard, Jhin",200,2016-06-25,200,
LGD Gaming,Saint Gaming,1,"Trundle, Gragas, Vladimir, Sivir, Nami","Swain, Graves, Ryze, Caitlyn, Thresh",100,2016-06-25,200,
Saint Gaming,LGD Gaming,2,"Rumble, Graves, Ryze, Caitlyn, Thresh","Trundle, Elise, Viktor, Morgana, Sivir",200,2016-06-25,200,
Game Talents,I May,1,"Irelia, Elise, Vladimir, Lucian, Braum","Nautilus, Ryze, Jhin, Thresh, Rek'Sai",200,2016-06-26,100,
I May,Game Talents,2,"Nautilus, Elise, Kassadin, Jhin, Thresh","Irelia, Gragas, Viktor, Karma, Lucian",100,2016-06-26,200,
Newbee,RNGU,1,"Maokai, Lee Sin, Vladimir, Ezreal, Braum","Irelia, Elise, Karma, Jhin, Bard",200,2016-06-26,200,
RNGU,Newbee,2,"Hecarim, Nidalee, Kassadin, Caitlyn, Braum","Vladimir, Zed, Elise, Jhin, Trundle",200,2016-06-26,200,
Newbee,RNGU,3,"Irelia, Nidalee, Kassadin, Jhin, Thresh","Trundle, Rek'Sai, Swain, Lucian, Nami",200,2016-06-26,200,
